race,PRES12D,PRES12R,PRES12None
WVAP,0.6095 (0.5864-0.6306),0.2822 (0.2687-0.2929),0.1083 (0.0907-0.1279)
OVAP,0.275 (0.2481-0.3037),0.0392 (0.0251-0.056),0.6858 (0.6605-0.7079)
