race,COMP14D,COMP14R,COMP14None
WVAP,0.3667 (0.3438-0.3887),0.1685 (0.1564-0.1785),0.4648 (0.4412-0.4886)
BVAP,0.1924 (0.1318-0.2579),0.0305 (0.0161-0.0503),0.7771 (0.7127-0.8366)
HVAP,0.0575 (0.0251-0.0996),0.0159 (0.0071-0.0288),0.9266 (0.8827-0.9604)
OVAP,0.0896 (0.047-0.152),0.0574 (0.0325-0.0908),0.853 (0.7911-0.9039)
