race,COMP14D,COMP14R,COMP14None
WVAP,0.3764 (0.3499-0.402),0.1863 (0.1785-0.1926),0.4374 (0.412-0.4624)
OVAP,0.1074 (0.0813-0.1352),0.0186 (0.0111-0.0283),0.874 (0.8464-0.9001)
