race,SEN12D,SEN12R,SEN12None
WVAP,0.599 (0.5712-0.6216),0.2161 (0.2065-0.224),0.1849 (0.1629-0.2121)
OVAP,0.1899 (0.1624-0.223),0.0286 (0.0182-0.0413),0.7815 (0.7484-0.809)
