race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.1406 (0.1324-0.1474),0.0046 (0.0027-0.0071),0.0256 (0.0211-0.0309),0.8293 (0.8213-0.8388)
OVAP,0.012 (0.0069-0.019),0.0204 (0.0171-0.0229),0.021 (0.0158-0.0257),0.9466 (0.9377-0.954)
