race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.2936 (0.2746-0.3126),0.0389 (0.0281-0.0504),0.6674 (0.6475-0.6885)
OVAP,0.0593 (0.0426-0.0768),0.0634 (0.0503-0.0765),0.8773 (0.8566-0.8966)
