race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0774 (0.071-0.0843),0.0551 (0.0513-0.0584),0.0376 (0.0333-0.0415),0.8299 (0.8218-0.838)
BVAP,0.0655 (0.0447-0.0865),0.0126 (0.0072-0.0199),0.0236 (0.0128-0.0364),0.8983 (0.8724-0.9219)
HVAP,0.0195 (0.0082-0.0338),0.0082 (0.0041-0.0144),0.0099 (0.0048-0.0184),0.9625 (0.9444-0.9779)
OVAP,0.0143 (0.0055-0.0287),0.0124 (0.0059-0.0217),0.0087 (0.0042-0.0156),0.9646 (0.9454-0.9789)
