race,COMP18D,COMP18R,COMP18None
WVAP,0.609 (0.578-0.6397),0.1553 (0.1427-0.167),0.2357 (0.2051-0.2665)
BVAP,0.4051 (0.2821-0.5257),0.0632 (0.0377-0.0962),0.5317 (0.4224-0.6445)
HVAP,0.1837 (0.1082-0.2863),0.0806 (0.0504-0.1162),0.7357 (0.6392-0.8113)
OVAP,0.2059 (0.1328-0.3189),0.0738 (0.0469-0.1089),0.7203 (0.6081-0.7964)
