race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.2917 (0.2748-0.3082),0.0362 (0.027-0.0456),0.6721 (0.6545-0.6906)
BVAP,0.1018 (0.0628-0.143),0.1146 (0.0812-0.1463),0.7835 (0.7375-0.8294)
HVAP,0.043 (0.0152-0.0745),0.024 (0.0092-0.0467),0.9331 (0.8951-0.9655)
OVAP,0.0338 (0.0107-0.068),0.0586 (0.0296-0.0938),0.9076 (0.8608-0.949)
