race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.1131 (0.1055-0.1207),0.0017 (0.0011-0.0025),0.8851 (0.8777-0.8927)
OVAP,0.0152 (0.0093-0.0216),0.0087 (0.0078-0.0094),0.9761 (0.9698-0.9821)
