race,PRES16D,PRES16R,PRES16None
WVAP,0.6443 (0.6202-0.6674),0.2136 (0.2029-0.2229),0.1421 (0.1188-0.1657)
OVAP,0.3259 (0.296-0.3555),0.033 (0.0208-0.0465),0.6412 (0.6116-0.6701)
