race,SEN16D,SEN16R,SEN16None
WVAP,0.6397 (0.6104-0.6653),0.2371 (0.2251-0.2464),0.1231 (0.1008-0.149)
OVAP,0.3277 (0.2947-0.3653),0.0363 (0.0231-0.0532),0.636 (0.6035-0.6639)
