race,GOV18D,GOV18R,GOV18None
WVAP,0.414 (0.381-0.444),0.4204 (0.4036-0.4346),0.1656 (0.1431-0.1926)
OVAP,0.2033 (0.1682-0.2424),0.0482 (0.0317-0.0676),0.7486 (0.7154-0.7764)
