race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4576 (0.3982-0.5089),0.5424 (0.4911-0.6018),0.4686 (0.4239-0.5158)
OVAP,0.9822 (0.9759-0.9877),0.0178 (0.0123-0.0241),0.3059 (0.2958-0.3164)
