race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.5294 (0.4863-0.5685),0.4706 (0.4315-0.5137),0.7039 (0.649-0.7623)
OVAP,0.992 (0.9881-0.9949),0.008 (0.0051-0.0119),0.5643 (0.5505-0.5775)
