race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5936 (0.551-0.6323),0.4064 (0.3677-0.449),0.6901 (0.6319-0.7474)
OVAP,0.9861 (0.9807-0.9903),0.0139 (0.0097-0.0193),0.4399 (0.4257-0.4546)
