race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.8275 (0.7621-0.8803),0.1725 (0.1197-0.2379),0.5318 (0.4531-0.6095)
BVAP,0.9889 (0.9828-0.9936),0.0111 (0.0064-0.0172),0.5105 (0.4889-0.5323)
HVAP,0.7042 (0.5505-0.8352),0.2958 (0.1648-0.4495),0.1448 (0.0995-0.2059)
OVAP,0.6825 (0.5963-0.7655),0.3175 (0.2345-0.4037),0.7592 (0.6329-0.8704)
