race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.2335 (0.166-0.3022),0.7665 (0.6978-0.834),0.7831 (0.7267-0.8338)
OVAP,0.8763 (0.8559-0.8933),0.1237 (0.1067-0.1441),0.4313 (0.4193-0.444)
