race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.8203 (0.7594-0.8795),0.1797 (0.1205-0.2406),0.568 (0.489-0.6424)
BVAP,0.9879 (0.9814-0.9928),0.0121 (0.0072-0.0186),0.5089 (0.4867-0.5307)
HVAP,0.6674 (0.5026-0.8128),0.3326 (0.1872-0.4974),0.1498 (0.1021-0.2096)
OVAP,0.5661 (0.4451-0.6706),0.4339 (0.3294-0.5549),0.7376 (0.5957-0.8756)
