race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.861 (0.7782-0.9239),0.139 (0.0761-0.2218),0.0909 (0.0683-0.1154)
OVAP,0.5566 (0.5366-0.575),0.4434 (0.425-0.4634),0.0975 (0.0937-0.1015)
