race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.6435 (0.58-0.7035),0.3565 (0.2965-0.42),0.4415 (0.39-0.4923)
BVAP,0.9873 (0.9814-0.9921),0.0127 (0.0079-0.0186),0.3624 (0.3479-0.3767)
HVAP,0.6374 (0.4616-0.807),0.3626 (0.193-0.5384),0.0634 (0.0386-0.0968)
OVAP,0.3711 (0.1593-0.5629),0.6289 (0.4371-0.8407),0.2908 (0.2012-0.4025)
