race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.6382 (0.5956-0.6734),0.3618 (0.3266-0.4044),0.6678 (0.6039-0.7267)
OVAP,0.9899 (0.9853-0.9935),0.0101 (0.0065-0.0147),0.4401 (0.4262-0.4556)
