race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.5775 (0.5414-0.6109),0.4225 (0.3891-0.4586),0.768 (0.7144-0.8203)
OVAP,0.9898 (0.9854-0.9933),0.0102 (0.0067-0.0146),0.5376 (0.5231-0.5522)
