race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.5969 (0.4894-0.6954),0.1151 (0.0617-0.1869),0.288 (0.1945-0.3866),0.1246 (0.1018-0.1481)
OVAP,0.2611 (0.2419-0.2809),0.5134 (0.4961-0.5309),0.2255 (0.2081-0.2432),0.1248 (0.1207-0.1289)
