race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.5688 (0.5231-0.6094),0.4312 (0.3906-0.4769),0.5485 (0.498-0.6011)
OVAP,0.993 (0.9896-0.9955),0.007 (0.0045-0.0104),0.499 (0.486-0.5113)
