race,AG14D,AG14R,AG14Turnout
WVAP,0.6185 (0.5532-0.6838),0.3815 (0.3162-0.4468),0.4237 (0.3732-0.4733)
BVAP,0.9885 (0.9829-0.9929),0.0115 (0.0071-0.0171),0.3602 (0.345-0.3743)
HVAP,0.668 (0.4825-0.8214),0.332 (0.1786-0.5175),0.0608 (0.0365-0.0948)
OVAP,0.5055 (0.2735-0.7121),0.4945 (0.2879-0.7265),0.2544 (0.1655-0.3652)
