race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.5721 (0.5327-0.6077),0.4279 (0.3923-0.4673),0.7686 (0.7105-0.8217)
OVAP,0.9885 (0.9837-0.9924),0.0115 (0.0076-0.0163),0.522 (0.5075-0.5376)
