race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.7358 (0.6401-0.8281),0.2642 (0.1719-0.3599),0.2392 (0.1984-0.2832)
OVAP,0.2612 (0.2398-0.283),0.7388 (0.717-0.7602),0.2237 (0.216-0.2309)
