race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.3275 (0.2384-0.413),0.3242 (0.2501-0.405),0.3482 (0.2856-0.4219),0.1292 (0.1087-0.1507)
OVAP,0.8446 (0.829-0.8599),0.1254 (0.1118-0.1394),0.03 (0.0215-0.0387),0.1305 (0.1266-0.1345)
