race,AG14D,AG14R,AG14Turnout
WVAP,0.4616 (0.4016-0.5154),0.5384 (0.4846-0.5984),0.4379 (0.3934-0.4827)
OVAP,0.9864 (0.9807-0.9909),0.0136 (0.0091-0.0193),0.3036 (0.2935-0.3138)
