race,AG18D,AG18R,AG18Turnout
WVAP,0.7973 (0.7296-0.8604),0.2027 (0.1396-0.2704),0.558 (0.4833-0.6277)
BVAP,0.9883 (0.982-0.9933),0.0117 (0.0067-0.018),0.5136 (0.4907-0.5353)
HVAP,0.6874 (0.5303-0.8222),0.3126 (0.1778-0.4697),0.1495 (0.1032-0.2081)
OVAP,0.629 (0.515-0.7357),0.371 (0.2643-0.485),0.7509 (0.602-0.8768)
