race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.6681 (0.6167-0.7204),0.3319 (0.2796-0.3833),0.6919 (0.623-0.7512)
BVAP,0.9921 (0.9877-0.9954),0.0079 (0.0046-0.0123),0.6643 (0.6437-0.6848)
HVAP,0.7164 (0.5526-0.8523),0.2836 (0.1477-0.4474),0.1065 (0.0666-0.1586)
OVAP,0.745 (0.6302-0.8412),0.255 (0.1588-0.3698),0.6058 (0.4363-0.7612)
