race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.367 (0.2973-0.4282),0.633 (0.5718-0.7027),0.4745 (0.4267-0.5247)
OVAP,0.9814 (0.9741-0.987),0.0186 (0.013-0.0259),0.3095 (0.2986-0.3205)
