race,AG18D,AG18R,AG18Turnout
WVAP,0.5973 (0.5562-0.6345),0.4027 (0.3655-0.4438),0.6916 (0.632-0.7496)
OVAP,0.9882 (0.9834-0.9921),0.0118 (0.0079-0.0166),0.4422 (0.4279-0.4568)
