race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.6155 (0.607-0.6247),0.3845 (0.3753-0.393),0.5398 (0.5299-0.5496)
BVAP,0.9292 (0.9166-0.9405),0.0708 (0.0595-0.0834),0.44 (0.4202-0.4631)
HVAP,0.7137 (0.6533-0.785),0.2863 (0.215-0.3467),0.3879 (0.3311-0.4535)
OVAP,0.9041 (0.8815-0.9229),0.0959 (0.0771-0.1185),0.7908 (0.7375-0.8368)
