race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4961 (0.4877-0.5043),0.5039 (0.4957-0.5123),0.457 (0.4502-0.4637)
OVAP,0.9438 (0.9343-0.9524),0.0562 (0.0476-0.0657),0.2874 (0.2772-0.2984)
