race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.5115 (0.5017-0.5215),0.4885 (0.4785-0.4983),0.4444 (0.4363-0.4526)
BVAP,0.9462 (0.9355-0.9553),0.0538 (0.0447-0.0645),0.3138 (0.2995-0.3281)
HVAP,0.626 (0.5237-0.744),0.374 (0.256-0.4763),0.1104 (0.0809-0.1453)
OVAP,0.8445 (0.7966-0.8823),0.1555 (0.1177-0.2034),0.4269 (0.358-0.4916)
