race,AG14D,AG14R,AG14Turnout
WVAP,0.4185 (0.4091-0.428),0.5815 (0.572-0.5909),0.4187 (0.4123-0.4253)
OVAP,0.9544 (0.9466-0.9615),0.0456 (0.0385-0.0534),0.2924 (0.2819-0.3028)
