race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.2782 (0.2676-0.2888),0.7218 (0.7112-0.7324),0.4442 (0.4376-0.4509)
OVAP,0.9489 (0.9403-0.9565),0.0511 (0.0435-0.0597),0.3056 (0.2951-0.3169)
