race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.6169 (0.6036-0.6302),0.0542 (0.0472-0.0617),0.3289 (0.3167-0.3414),0.0862 (0.084-0.0886)
OVAP,0.3723 (0.3589-0.3855),0.3336 (0.3231-0.344),0.2941 (0.2822-0.3057),0.128 (0.1247-0.1312)
