race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.2193 (0.208-0.2307),0.7807 (0.7693-0.792),0.5902 (0.581-0.5995)
OVAP,0.869 (0.8544-0.8832),0.131 (0.1168-0.1456),0.462 (0.4475-0.4754)
