race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.4956 (0.4881-0.503),0.5044 (0.497-0.5119),0.4971 (0.4898-0.5042)
OVAP,0.9732 (0.9682-0.9776),0.0268 (0.0224-0.0318),0.4833 (0.4718-0.4949)
