race,AG18D,AG18R,AG18Turnout
WVAP,0.4989 (0.4895-0.5088),0.5011 (0.4912-0.5105),0.5685 (0.5578-0.5787)
OVAP,0.9429 (0.9327-0.9519),0.0571 (0.0481-0.0673),0.4634 (0.4478-0.4791)
