race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.6001 (0.5927-0.6077),0.3999 (0.3923-0.4073),0.5746 (0.5648-0.5839)
OVAP,0.9417 (0.9319-0.9509),0.0583 (0.0491-0.0681),0.4457 (0.4307-0.4619)
