race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.2893 (0.2753-0.3031),0.3742 (0.3622-0.3866),0.3365 (0.3242-0.3483),0.084 (0.0819-0.0861)
OVAP,0.7043 (0.6901-0.7186),0.1596 (0.1481-0.1705),0.1361 (0.1254-0.1472),0.1371 (0.1333-0.141)
