race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.4518 (0.4439-0.4601),0.5482 (0.5399-0.5561),0.6346 (0.6262-0.643)
OVAP,0.9692 (0.9632-0.9746),0.0308 (0.0254-0.0368),0.5543 (0.5415-0.5667)
