race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.8372 (0.8228-0.8511),0.1628 (0.1489-0.1772),0.1443 (0.1397-0.149)
OVAP,0.3721 (0.3567-0.3875),0.6279 (0.6125-0.6433),0.2446 (0.2381-0.2511)
