race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.5447 (0.5354-0.5544),0.4553 (0.4456-0.4646),0.5369 (0.5275-0.5469)
OVAP,0.9477 (0.938-0.956),0.0523 (0.044-0.062),0.4558 (0.4397-0.4708)
