race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9678 (0.9619-0.9729),0.0322 (0.0271-0.0381),0.0489 (0.0474-0.0506)
OVAP,0.7505 (0.7425-0.7585),0.2495 (0.2415-0.2575),0.0866 (0.0842-0.089)
