race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.5069 (0.4979-0.5159),0.4931 (0.4841-0.5021),0.4797 (0.4722-0.4876)
BVAP,0.9734 (0.9679-0.9783),0.0266 (0.0217-0.0321),0.5015 (0.4863-0.516)
HVAP,0.7283 (0.6629-0.7936),0.2717 (0.2064-0.3371),0.2344 (0.1931-0.2861)
OVAP,0.939 (0.9233-0.9526),0.061 (0.0474-0.0767),0.7661 (0.715-0.8158)
