race,AG14D,AG14R,AG14Turnout
WVAP,0.4236 (0.4131-0.4347),0.5764 (0.5653-0.5869),0.4041 (0.3973-0.4115)
BVAP,0.9507 (0.9417-0.959),0.0493 (0.041-0.0583),0.3064 (0.2927-0.3197)
HVAP,0.6753 (0.5761-0.7805),0.3247 (0.2195-0.4239),0.0964 (0.0675-0.1302)
OVAP,0.9097 (0.8855-0.9306),0.0903 (0.0694-0.1145),0.4967 (0.442-0.5487)
