race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.4024 (0.3885-0.417),0.1182 (0.1109-0.1259),0.1617 (0.1522-0.1709),0.1126 (0.1039-0.1215),0.2051 (0.1918-0.2182),0.0836 (0.0814-0.0858)
OVAP,0.4475 (0.4347-0.46),0.0773 (0.0707-0.084),0.0649 (0.0582-0.0721),0.0459 (0.0398-0.0519),0.3644 (0.3521-0.377),0.1727 (0.1685-0.1768)
