race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.4711 (0.4618-0.4805),0.5289 (0.5195-0.5382),0.6544 (0.6438-0.6645)
OVAP,0.9443 (0.9347-0.9532),0.0557 (0.0468-0.0653),0.5376 (0.5213-0.5542)
