race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.4765 (0.4667-0.486),0.5235 (0.514-0.5333),0.6351 (0.6247-0.6461)
OVAP,0.9498 (0.941-0.9579),0.0502 (0.0421-0.059),0.5489 (0.532-0.5649)
