race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.3969 (0.3779-0.4144),0.6031 (0.5856-0.6221),0.393 (0.381-0.4048)
OVAP,0.9736 (0.9559-0.9854),0.0264 (0.0146-0.0441),0.2561 (0.2342-0.2815)
