race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.1465 (0.1214-0.1709),0.4364 (0.4122-0.4604),0.4171 (0.394-0.4408),0.0869 (0.0828-0.091)
OVAP,0.6941 (0.6429-0.7442),0.1489 (0.1097-0.1913),0.1569 (0.1182-0.199),0.0961 (0.087-0.1053)
