race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.8896 (0.8618-0.9148),0.1104 (0.0852-0.1382),0.1137 (0.1075-0.1199)
OVAP,0.2591 (0.2172-0.303),0.7409 (0.697-0.7828),0.1808 (0.1676-0.1941)
