race,AG18D,AG18R,AG18Turnout
WVAP,0.4508 (0.4312-0.4696),0.5492 (0.5304-0.5688),0.3481 (0.336-0.3601)
OVAP,0.9696 (0.9504-0.9831),0.0304 (0.0169-0.0496),0.2491 (0.2254-0.2731)
