race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9662 (0.9452-0.9807),0.0338 (0.0193-0.0548),0.0335 (0.0301-0.037)
OVAP,0.8273 (0.8077-0.8454),0.1727 (0.1546-0.1923),0.0812 (0.0739-0.0883)
