race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.5045 (0.4855-0.5236),0.4955 (0.4764-0.5145),0.3218 (0.3103-0.3345)
OVAP,0.9707 (0.9514-0.9835),0.0293 (0.0165-0.0486),0.2459 (0.2217-0.2717)
