race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.1866 (0.1654-0.2066),0.8134 (0.7934-0.8346),0.3577 (0.3462-0.3689)
OVAP,0.8703 (0.8295-0.9078),0.1297 (0.0922-0.1705),0.2463 (0.227-0.2673)
