race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.531 (0.5154-0.5473),0.469 (0.4527-0.4846),0.3612 (0.3499-0.3727)
OVAP,0.9586 (0.9326-0.977),0.0414 (0.023-0.0674),0.2056 (0.1824-0.2305)
