race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.5004 (0.4829-0.517),0.4996 (0.483-0.5171),0.3528 (0.3414-0.3645)
OVAP,0.9821 (0.9709-0.9902),0.0179 (0.0098-0.0291),0.3424 (0.3191-0.3662)
