race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.6533 (0.6262-0.6806),0.0441 (0.0307-0.0591),0.3026 (0.2755-0.3294),0.085 (0.0807-0.0893)
OVAP,0.3107 (0.2681-0.3553),0.3104 (0.2759-0.3466),0.3789 (0.3348-0.4246),0.1011 (0.0925-0.11)
